longitude,latitude,age,rooms,bedrooms,population,households,income,value
-122.08,37.65,35,1813,393,1093,374,3.6818,165400
-122.1,37.66,34,656,115,342,112,4.6875,200600
-122.1,37.63,18,9963,2031,5613,1946,3.8171,187200
-122.13,37.66,19,862,167,407,183,4.3456,163000
-122.11,37.65,18,4335,808,2041,734,3.4861,331600
-122.09,37.64,32,1578,284,836,292,3.9063,184200
-122.08,37.64,36,1340,245,789,248,3.8,172000
-122.07,37.63,27,2784,723,2028,693,2.4808,157600
-122.04,37.63,33,952,172,369,159,3.2331,226700
-122.07,37.63,24,2329,465,1401,453,4.5913,177600
-122.09,37.63,36,1570,274,992,249,5.3644,168800
-122.09,37.63,35,1213,221,790,243,4.7019,174100
-122.02,37.6,36,1633,345,1382,338,3.694,159600
-122.02,37.6,32,1295,280,1156,300,3.5,154300
-122.06,37.6,18,1726,276,1186,310,5.3226,231700
-122.07,37.58,16,1606,240,1117,268,6.0661,247000
-122.07,37.57,8,8647,1407,5019,1379,6.5615,318300
-121.97,37.54,31,1949,344,986,322,4.6349,196200
-121.94,37.54,27,3715,526,1631,538,6.2179,305300
-121.95,37.54,29,3517,645,1724,585,4.6641,248900
-121.96,37.53,28,2949,529,1538,545,4.9615,228000
-122,37.55,27,6103,1249,3026,1134,4.1591,332400
-121.96,37.52,26,4211,741,2352,734,5.2396,223900
-122.04,37.53,25,4458,922,2998,890,3.9667,218500
-122.04,37.53,34,2316,478,1524,467,3.7364,190400
-122.03,37.54,16,4458,856,3038,870,5.0739,208000
-122,37.51,7,6352,1390,3223,1316,4.9867,181700
-121.91,37.71,25,4377,668,2038,671,5.7233,231800
-121.93,37.66,24,3166,424,1081,400,8.3337,500001
-121.88,37.67,25,2244,301,937,324,6.4524,296900
-121.9,37.67,7,9540,1294,3926,1229,7.4353,389800
-121.87,37.67,10,4337,800,1813,743,5.5,247200
-121.84,37.66,13,13182,2074,4847,1950,5.6417,352900
-121.82,37.73,47,127,23,51,21,4.3472,375000
-121.89,37.69,4,6159,1510,2649,1241,3.62,139300
-121.75,37.71,11,12070,2220,5826,2125,4.8624,192400
-121.77,37.68,36,1687,372,950,372,3.5532,158400
-121.79,37.69,25,6296,1082,3200,1047,4.5357,188400
-121.76,37.7,9,3980,736,1705,679,5.7068,256700
-121.76,37.68,35,1864,357,1189,349,4.2361,177500
-121.77,37.67,20,8068,1217,3489,1259,5.7907,264200
-121.79,37.67,26,2163,339,947,346,6.0797,211000
-120,38.52,16,3045,543,202,102,3.15,140600
-120.25,38.55,15,4403,891,1103,433,3.0125,111700
-120.79,38.54,34,1133,254,495,187,2.05,68900
-120.88,38.45,25,1374,297,657,288,2.5476,97900
-120.66,38.4,18,2144,420,985,381,3.175,118500
-121.89,39.76,15,10265,1860,4591,1906,3.07,142600
-121.86,39.75,18,1651,309,856,293,3.5046,118300
-121.82,39.73,44,2923,659,1371,626,2.2925,85800
-121.84,39.73,52,857,232,520,198,0.987,112500
-121.84,39.72,52,1457,389,802,342,0.9566,69000
-121.84,39.73,52,957,263,513,223,1.3672,55000
-121.81,39.7,21,5051,1054,2948,980,1.5863,81300
-121.84,39.68,38,549,105,275,94,3.5375,153100
-121.59,39.82,12,1958,369,875,354,2.3507,97600
-121.6,39.79,18,2672,533,1151,532,2.567,102900
-121.59,39.77,24,1535,276,664,273,2.3068,97300
-121.61,39.76,31,2431,512,1026,427,2.5428,85000
-121.66,39.66,17,3502,655,1763,613,2.9625,101200
-121.62,39.5,18,2105,416,974,385,1.6346,63300
-121.54,39.5,38,1438,310,779,275,1.3289,39400
-121.54,39.47,14,1724,315,939,302,2.4952,53900
-121.65,39.35,24,1003,251,1098,227,1.7552,86400
-121.74,39.38,27,2596,435,1100,409,2.3243,85500
-121.8,39.33,30,1019,192,501,185,2.5259,81300
-121.71,39.42,21,1432,284,862,275,2.2813,57600
-120.55,38.31,18,1411,312,592,230,1.625,94700
-120.37,38.23,13,4401,829,924,383,2.6942,123500
-121.65,38.03,28,3144,694,1095,482,3.4402,192400
-121.72,37.98,5,7105,1143,3523,1088,5.0468,168800
-121.71,37.99,27,3861,718,2085,707,3.3558,129700
-121.64,37.85,22,1999,415,967,320,4.4583,253900
-121.81,38.01,52,1124,245,528,226,2.2639,128500
-121.82,38.01,50,1120,281,625,239,1.5988,96400
-121.82,38.01,25,3018,606,1614,568,3.4722,127000
-121.79,38.01,17,4032,814,1749,618,3.1728,146800
-121.78,38,8,2371,375,1094,396,5.3245,174500
-121.85,38,24,2269,584,1239,542,2.0411,100000
-121.83,37.99,16,2919,462,1456,453,5.6779,164700
-121.77,37.99,4,5623,780,2429,716,5.4409,205100
-121.92,38.01,7,1632,248,879,262,6.1237,166000
-121.92,38.03,16,2176,464,1410,434,3.5436,100200
-122.06,37.95,36,2213,386,950,370,4.7386,186400
-122.03,37.98,16,1209,477,627,482,1.3894,156300
-122.04,37.97,10,974,316,631,286,2.3152,140600
-122.03,38,25,3577,581,1753,593,5.7295,178300
-122.04,37.99,38,2675,541,1378,480,3.8897,139900
-122.03,37.99,35,3103,537,1614,566,4.9022,169300
-122.03,37.99,37,1755,327,882,350,4.59,166600
-122,37.98,32,1013,169,436,173,5.1118,226900
-122,37.98,35,1192,201,535,172,4.9219,182000
-122.01,37.99,28,1900,401,918,351,3.7841,144900
-121.97,37.97,26,1977,264,817,273,5.7512,240200
-121.96,37.95,13,3216,765,1627,715,3.0859,167800
-121.97,37.95,8,4253,709,1883,662,5.431,246700
-121.99,37.96,17,2756,423,1228,426,5.5872,200600
-122.02,37.97,36,2342,436,1191,416,4,171000
-122.05,37.95,20,563,107,246,123,5.4482,190800
-122.02,37.94,19,3192,612,1317,594,4.125,267100
-122.01,37.93,25,2652,335,1062,334,7.5898,330200
-122.05,37.93,5,4274,1153,1503,881,4.0473,266500
-122.05,37.93,15,7803,1603,2957,1546,4.45,184900
-122.06,37.91,15,5393,1422,2133,1288,4.1612,232800
-122.08,37.92,28,2377,469,1068,435,4.4561,250000
-122.07,37.91,28,1731,295,810,295,5.0391,259800
-122.07,37.91,33,1550,277,638,254,3.6833,292500
-122.04,37.9,20,5467,1044,2310,963,5.6986,275800
-122.02,37.89,29,6349,858,2450,778,7.5,356200
-121.92,37.73,24,1407,327,501,295,2.4821,157200
-121.98,37.8,17,3354,422,1457,425,7.6473,345800
-121.96,37.81,12,6488,778,2404,765,8.3188,403400
-121.97,37.8,17,3279,418,1222,381,7.9168,356000
-121.99,37.82,22,1248,271,579,269,3.375,200000
-121.99,37.81,17,465,83,146,75,4.9018,188500
-122.02,37.8,11,6200,907,2286,896,7.6518,359300
-121.95,37.81,5,7178,898,2823,907,9.0776,450400
-122.1,37.93,20,10212,1424,4083,1374,8.039,382200
-122.12,37.94,22,4949,626,1850,590,10.4549,500001
-122.11,37.88,37,4005,614,1602,606,6.4666,348200
-122.12,37.88,35,2785,362,1001,363,8.0448,433300
-122.13,37.89,27,744,214,295,169,2.7411,350000
-122.1,37.88,35,3701,528,1511,517,7.2315,367100
-122.08,37.84,17,1320,159,1722,141,11.7064,500001
-122.14,37.86,20,6201,1182,2415,1141,4.5744,314000
-122.14,37.84,24,2131,343,874,373,5.6349,355600
-122.17,37.87,38,1261,177,472,183,6.917,438000
-122.22,37.88,20,95,13,31,15,2.4444,475000
-122.18,37.89,18,4845,735,1634,734,8.1489,499000
-121.96,37.95,25,4026,791,1850,709,4.1483,181200
-121.95,37.94,21,3153,411,1318,431,6.8642,285400
-122.01,37.92,18,2808,337,1038,337,8.3956,353600
-122.01,37.92,16,2638,345,1055,334,8.1163,365800
-121.91,37.93,13,1610,198,703,217,8.7059,329400
-121.93,37.93,16,2169,262,877,245,6.6049,312600
-122.31,38,26,3735,641,1708,633,4.621,191100
-122.27,37.99,16,4921,737,2312,725,5.8899,243200
-122.24,38.01,11,3751,565,1949,555,5.7862,269400
-122.27,38,15,1216,166,572,178,5.8418,240300
-122.26,38,5,6265,908,3326,872,6.2073,272900
-122.3,37.97,35,1811,377,911,340,3.375,149700
-122.29,37.94,20,7578,1426,3637,1362,4.4387,190000
-122.31,37.99,25,6508,1137,3259,1081,4.2348,157800
-122.32,37.99,24,4865,968,2315,893,4.2852,173500
-122.33,37.99,4,3999,1079,1591,887,3.911,112500
-122.39,38,33,44,6,23,11,4.125,212500
-122.41,37.98,36,60,15,42,25,1.4583,67500
-122.35,37.96,29,1899,524,1357,443,1.875,97200
-122.34,37.96,15,6487,1717,3408,1560,2.1991,133300
-122.32,37.93,40,1141,213,434,196,3.9464,186900
-122.33,37.94,42,1695,345,719,334,3.9417,139100
-122.34,37.95,45,1128,240,702,270,3.6719,134100
-122.36,37.95,38,1042,289,773,248,2.7714,104700
-122.34,37.94,44,1917,444,936,435,2.7391,140300
-122.34,37.94,31,1611,455,786,411,1.681,145500
-122.36,37.93,42,1796,389,1107,372,1.9375,87000
-122.37,37.93,37,709,190,644,174,0.8641,84200
-122.34,37.93,32,2389,652,1672,584,1.4423,88300
-122.31,37.93,36,1526,256,696,263,3.5089,261900
-122.31,37.92,38,1250,236,631,279,3.724,220100
-122.31,37.92,43,2116,407,900,361,4.1587,212200
-122.3,37.9,41,2053,435,873,415,3.4091,223000
-122.29,37.9,52,2657,500,1131,489,4.4286,234900
-122.27,37.91,47,1930,315,692,296,6.3669,315500
-124.17,41.76,20,2673,538,1282,514,2.4605,105900
-124.15,41.81,17,3276,628,3546,585,2.2868,103100
-119.98,38.96,25,2443,444,868,342,3.5417,114800
-120.01,38.92,25,1758,357,689,278,2.675,104200
-120.02,38.76,15,3142,618,725,285,4.3333,121400
-120.16,39.04,18,2040,402,350,129,4.0313,126000
-121.04,38.81,11,3522,623,1456,544,3.93,163400
-121,38.58,12,3425,549,1357,451,5.3344,217500
-120.87,38.71,13,2692,470,1302,420,4,167400
-120.63,38.68,14,1821,316,769,266,3.0789,131700
-120.66,38.61,19,2715,596,1301,473,2.5042,126400
-120.88,38.58,8,3417,604,1703,623,4.0827,170700
-119.81,36.74,36,607,155,483,146,1.5625,47500
-119.77,36.72,43,1763,389,1623,390,1.4427,47700
-119.77,36.74,20,1855,519,1091,443,1.5547,93900
-119.78,36.74,15,1461,415,924,356,2.5045,90300
-119.78,36.75,35,2114,506,2050,474,1.2375,50000
-119.82,36.74,52,610,128,406,122,1.8967,43800
-119.8,36.72,19,1334,336,1171,319,1.0481,48500
-119.79,36.7,23,1731,363,1210,341,1.3922,49500
-119.79,36.72,41,1562,322,927,277,1.3047,44100
-119.76,36.72,24,1240,265,1035,232,2.875,60600
-119.75,36.72,22,3247,859,4179,881,1.3343,60800
-119.69,36.75,6,1926,303,965,316,4.7463,93100
-119.69,36.74,23,2097,385,911,405,3.5128,121600
-119.73,36.73,7,2461,647,1587,551,1.4007,225000
-119.73,36.72,15,2246,456,1190,403,2.0294,70400
-119.73,36.68,32,755,205,681,207,1.7986,49300
-119.69,36.69,36,1432,269,836,237,2.1563,88300
-119.76,36.68,29,1243,312,836,277,1.8355,74200
-119.89,36.7,32,1485,269,867,271,2.5809,78300
-119.81,36.76,51,2419,486,1284,426,2.2029,54200
-119.81,36.76,52,1792,352,1049,357,2.4375,57100
-119.78,36.76,47,1425,323,949,325,1.7344,51300
-119.76,36.75,35,1607,383,1407,382,2.19,53400
-119.76,36.75,41,1576,417,1567,366,1.2545,45500
-119.76,36.75,35,2347,526,1676,481,1.6548,49400
-119.76,36.75,39,2233,563,2031,491,1.8641,50800
-119.75,36.75,49,2331,460,1290,477,2.5111,55400
-119.73,36.75,39,1745,321,901,303,3.1719,67900
-119.71,36.8,17,2056,366,1259,367,3.9338,84700
-119.71,36.8,17,1415,267,861,293,3.25,81400
-119.76,36.77,36,2507,466,1227,474,2.785,72300
-119.76,36.77,38,3804,814,2142,816,2.1439,60200
-119.78,36.78,37,2185,455,1143,438,1.9784,70700
-119.85,36.75,24,1143,245,608,240,2.8194,81100
-119.9,36.79,22,1970,332,1066,319,3.3125,106100
-119.89,36.76,17,1987,335,1152,313,4.1719,126400
-120.08,36.79,38,1446,285,928,255,2.9808,89600
-120.04,36.74,14,3182,730,2298,721,1.6168,71800
-119.99,36.8,45,1270,242,598,214,3.2813,105400
-119.87,36.83,4,4833,784,2088,789,5.1781,122500
-119.85,36.82,15,1387,236,638,195,5.5842,88900
-119.84,36.82,17,2807,376,996,353,5.5357,167700
-119.82,36.81,25,3305,551,1149,500,5.0698,150900
-119.82,36.84,7,2289,342,1077,354,5.4868,158800
-119.8,36.83,17,1560,261,709,258,4.3315,95800
-119.8,36.8,43,1951,288,725,308,6.3359,169300
-119.83,36.8,24,3756,681,1586,739,3.8571,90100
-119.83,36.79,24,3505,819,2098,774,1.9575,67000
-119.82,36.78,36,1582,313,761,318,2.6055,69200
-119.82,36.79,35,1474,291,709,294,2.6522,65900
-119.82,36.79,18,5822,1439,3415,1224,1.6854,64700
-119.81,36.79,39,2471,460,1118,431,2.4167,71900
-119.79,36.81,35,1877,328,1155,353,3.069,69600
-119.79,36.81,33,1461,261,494,254,4.25,132200
-119.77,36.79,27,2258,427,1076,423,2.9937,81100
-119.74,36.79,28,2857,619,1614,592,2.1573,71400
-119.77,36.8,32,3461,665,1507,649,2.9244,84600
-119.76,36.83,17,3690,628,1888,601,4.0196,84200
-119.77,36.91,3,7520,1143,2878,1077,5.3272,174200
-119.7,36.94,15,1449,277,649,265,2.4861,86300
-119.7,36.81,32,2623,528,1570,492,2.7159,68000
-119.73,36.83,14,3348,491,1584,493,5.0828,111400
-119.72,36.81,28,1651,305,780,309,2.9453,72200
-119.67,36.83,3,2029,336,1003,340,4.4356,111300
-119.68,36.81,16,2668,454,1536,457,3.9792,88900
-119.68,36.8,7,2855,518,1748,498,4.2066,88400
-119.69,36.77,22,2456,496,1720,417,2.6875,60600
-119.56,36.71,29,1963,392,1208,398,2.5741,73000
-119.55,36.72,6,1186,234,1135,218,2.1515,63900
-119.52,36.71,21,1834,321,1120,314,2.59,69300
-119.47,36.69,19,3351,589,1578,542,3.2917,160100
-119.61,36.94,14,863,151,315,135,4.2679,151800
-119.57,37.02,16,4199,794,2140,722,3.332,111800
-119.33,36.89,15,1879,411,755,294,2,83300
-119.25,36.71,13,2813,579,1385,512,2.2202,100000
-119.31,36.63,26,1874,416,1834,432,1.6486,55200
-119.45,36.6,36,2294,489,1430,454,1.8975,60900
-119.45,36.59,28,1274,215,572,202,3.825,84200
-119.59,36.57,19,1733,303,911,281,3.5987,131700
-119.6,36.56,36,738,168,737,186,1.4415,54400
-119.56,36.51,37,1018,213,663,204,1.6635,67000
-120.35,36.16,18,1519,296,846,272,2.7792,85300
-120.18,36.59,25,948,198,613,171,2.3026,90600
-120.22,36.49,14,1508,347,1679,345,2.4786,56000
-120.44,36.84,29,1563,293,883,288,2.8182,90500
-122.16,39.78,32,1288,221,562,203,2.325,69600
-122.18,39.55,28,1471,259,673,246,3.25,81600
-124.17,40.8,52,1557,344,758,319,1.8529,62500
-124.15,40.78,36,2112,374,829,368,3.3984,90000
-124.13,40.8,31,2152,462,1259,420,2.2478,81100
-124.08,40.86,18,1287,484,805,502,1.1157,150000
-124.07,40.87,31,334,134,780,130,0.7684,153100
-124.1,40.9,18,4032,798,1948,775,2.7321,92600
-123.72,41.09,19,1970,431,1166,363,1.8208,50000
-124.14,41.06,32,1020,215,421,198,3.0208,143400
-124.16,41.02,23,1672,385,1060,390,2.1726,75500
-124.11,40.93,17,1661,329,948,357,2.7639,90200
-124.08,40.94,18,1550,345,941,335,2.3147,70100
-124.17,40.74,17,2026,338,873,313,4.0357,128900
-124.26,40.58,52,2217,394,907,369,2.3571,111400
-124.23,40.54,52,2694,453,1152,435,3.0806,106700
-124.35,40.54,52,1820,300,806,270,3.0147,94600
-123.75,40.11,35,2052,477,900,402,1.9625,101500
-115.51,33.12,21,1024,218,890,232,2.101,46700
-115.73,33.09,27,452,103,258,61,2.9,87500
-115.52,32.97,24,1617,366,1416,401,1.975,66400
-115.58,32.81,5,805,143,458,143,4.475,96300
-115.55,32.8,23,666,142,580,160,2.1136,61000
-115.49,32.67,24,1266,275,1083,298,1.4828,73100
-115.49,32.67,29,1523,440,1302,393,1.1311,84700
-115.96,33.3,27,322,81,112,57,1.125,54400
-115.95,33.28,12,99,25,37,17,1.8958,53800
-114.98,33.07,18,1183,363,374,127,3.1607,57500
-118.45,37.37,26,3135,524,1385,523,4.337,139700
-118.39,37.37,25,3295,824,1477,770,1.8325,105800
-118.31,36.94,35,2563,530,861,371,2.325,80600
-119.03,35.42,38,2952,598,1491,568,2.6094,67900
-119.03,35.45,14,3520,604,1748,582,4.3162,87100
-119.03,35.42,42,1705,418,905,393,1.6286,54600
-119.02,35.41,31,2348,701,1413,611,1.3222,51400
-119.09,35.43,28,254,35,118,37,4.8571,237500
-119.08,35.39,10,6435,1040,3242,1030,5.575,132200
-119,35.4,44,2250,378,928,379,4.3906,93900
-118.98,35.41,36,1482,266,640,274,3.875,94500
-118.96,35.4,27,2473,400,1271,427,3.5524,89100
-118.95,35.38,35,2220,388,906,373,3.5938,95200
-118.94,35.38,26,4800,831,2365,743,3.7533,87000
-118.95,35.41,21,3999,727,1889,688,3.875,99500
-118.94,35.39,13,3137,417,1318,397,7.7751,194100
-118.93,35.37,34,2412,446,1558,421,2.6903,62800
-118.97,35.37,41,2396,602,1781,543,1.8819,58000
-118.97,35.38,35,1673,426,1041,413,1.375,57500
-118.99,35.38,26,1317,374,1025,304,1.4024,51000
-118.98,35.38,24,1807,465,1460,410,1.4786,54800
-119.01,35.37,35,120,35,477,41,1.9125,47500
-119.03,35.38,52,1695,290,540,260,2.7312,147100
-119.03,35.36,41,1944,363,977,388,3.9097,81300
-119.01,35.36,24,1941,484,1277,435,1.056,51600
-119,35.36,40,850,227,764,186,0.9407,43600
-119,35.36,39,896,217,805,197,1.25,42500
-118.99,35.36,18,1524,354,1210,344,1.1136,47800
-118.99,35.36,31,1498,359,1168,340,1.2232,49300
-118.95,35.36,30,2294,508,1753,482,2.1078,54700
-119.03,35.35,34,1441,294,695,275,2.6875,73700
-119.05,35.34,14,3580,984,1933,912,2.6637,175000
-119.08,35.35,20,892,129,331,135,7.1837,176300
-119.1,35.33,4,6640,898,3121,902,6.759,170300
-119.03,35.32,12,2721,549,1294,523,2.5575,100200
-119.05,35.3,9,10822,1994,6241,1906,4.0631,88200
-118.99,35.24,40,282,59,213,71,2.35,91700
-119.15,34.83,6,8733,1600,2006,736,4.5724,168400
-119.2,35.37,6,7383,1095,3415,1059,5.3119,157300
-119.24,35.67,32,3216,750,2639,709,2.0025,54700
-118.33,35.64,15,2966,669,1007,465,1.5667,72500
-118.47,35.64,17,2248,535,927,427,1.3023,68500
-117.69,35.65,5,1131,276,520,232,4.0167,87500
-117.68,35.55,9,3811,605,1518,568,5.5551,142500
-117.84,35.54,11,1751,316,765,296,5.0762,98000
-117.95,35.08,1,83,15,32,15,4.875,141700
-117.99,35.16,15,2180,416,960,370,2.875,87800
-118.15,34.86,10,4597,1009,2227,821,2.6149,83500
-118.17,34.86,21,2370,540,1488,554,2.7361,83300
-118.15,35.06,15,1069,296,569,263,2.0441,73300
-118.16,35.05,44,1297,307,776,278,2.5875,68900
-118.61,34.99,11,4031,766,1539,564,3.8917,120800
-118.82,35.23,31,2358,580,2302,574,1.9688,53900
-118.85,35.2,17,2783,678,2566,641,1.9907,51200
-118.92,35.26,20,3815,924,3450,920,2.0174,63700
-119.69,36.41,38,1016,202,540,187,2.2885,75000
-119.78,36.3,30,1846,391,1255,352,2.1681,66600
-119.78,36.33,16,1006,212,515,200,3.2386,112500
-119.78,36.27,29,1871,315,1066,309,4.5714,100800
-119.63,36.34,26,1463,261,699,219,3.5536,71400
-119.64,36.33,41,3095,766,1852,721,1.4524,51700
-119.66,36.32,24,2652,568,1532,445,2.3256,56800
-119.66,36.3,18,1147,202,717,212,3.3681,70500
-119.65,36.3,28,941,175,588,180,2.3466,53400
-119.61,36.31,25,1847,371,1460,353,1.8839,46300
-119.57,36.27,20,2673,452,1394,449,2.625,97400
-119.57,36.09,6,2015,413,992,319,2.3889,53200
-119.56,36.09,35,1648,285,792,265,3.2847,64700
-119.56,36.08,37,766,189,639,190,1.6607,42100
-119.58,36.11,21,2004,385,1397,398,2.2169,61600
-120.14,36,33,1726,420,1371,388,2.0335,43900
-123.07,39.12,24,1098,193,353,145,3.8333,92600
-122.92,39.08,24,341,64,146,57,4,166300
-122.91,39.07,21,2202,484,1000,381,2.4423,102300
-122.92,39.05,16,1548,295,605,250,3.5652,119000
-122.92,39.05,38,3131,624,1591,568,2.5457,80700
-122.86,39.08,24,3127,674,1015,448,2.0417,78800
-122.6,38.93,16,1657,390,572,301,1.4767,62000
-122.62,38.96,16,1914,446,828,332,2.0577,69000
-122.7,38.97,17,2554,540,723,319,3.2375,114200
-122.79,39.02,23,642,203,265,84,1.8833,96900
